# date:Sat Dec 04 10:45:06 CET 2021
# maxtrees:1000000.0
# AP mean [mm]:700.0
# AP std [mm]:50.0
# Temp mean [°C]:f(t) = 0.01*t + 10
# Temp std [°C]:1.0
# offspringRate [%]:2.0
Spruce (count),Spruce volume (cm^3),Fir (count),Fir volume (cm^3),Beech (count),Beech volume (cm^3)
335,2.5005946032547653E8,9,1.0743031842684077E7,712,3.1190109030648E9
341,2.5034379324356726E8,9,1.0885664465595597E7,713,3.118095781702741E9
339,2.5167380234752926E8,8,8258135.713575974,705,3.1336420912186875E9
342,2.5314455165043408E8,8,8378823.710098393,705,3.1179280173989263E9
345,2.5552323574034438E8,8,8514701.097783282,708,3.087597154395878E9
347,2.5668893719632933E8,8,8282780.635176239,714,3.0834662959335356E9
343,2.5889978867380464E8,8,8401385.226202644,709,3.084133267638432E9
347,2.5837992099168235E8,8,8534392.13629753,716,3.1118948697104855E9
348,2.568633019112193E8,8,8648415.635533676,728,3.1045123762750144E9
351,2.5507582322129762E8,8,8757672.867198147,733,3.1070960413012705E9
353,2.5692622624556884E8,8,8872117.748911839,730,3.08611269624059E9
353,2.5543263143004045E8,8,9014295.333660783,741,3.087472701009113E9
359,2.5357210685386175E8,8,9136259.428548455,749,3.1128705750589128E9
362,2.526966623060705E8,8,9273641.26929128,756,3.115352607795007E9
355,2.5144121477243784E8,8,9387449.550973862,749,3.112183292017335E9
359,2.4843919023907623E8,8,9527011.175196312,751,3.137044062950792E9
363,2.4713166499625385E8,8,9670096.074641092,755,3.111443299458263E9
370,2.49291601259072E8,9,9824486.23505828,759,3.0951881808008137E9
372,2.5174792032796046E8,9,9973929.195985902,768,3.101450090657552E9
379,2.5428992758194616E8,10,1.0132522427320536E7,765,3.069472738695265E9
382,2.5118528033072403E8,10,1.0296795313486991E7,769,3.063781314316341E9
385,2.5286044060229656E8,10,1.0451278521847468E7,776,3.0031651903148303E9
390,2.539899851729769E8,11,1.0637063911254104E7,783,3.000011379979128E9
384,2.5142057078438905E8,11,1.0818486312973108E7,775,2.960465923025783E9
391,2.535182498599643E8,10,1.0931969927685281E7,783,2.983933924044821E9
395,2.5634639973876363E8,10,1.111313425616547E7,790,2.9562288151244593E9
405,2.5611170459682044E8,10,7760175.987016961,790,2.892454837719787E9
415,2.5585765728689218E8,10,7942418.016929518,790,2.8953345452837276E9
418,2.5422937188254347E8,10,8159211.959043338,795,2.866382284410607E9
424,2.546653015645868E8,10,8395404.014815371,800,2.8483668363847537E9
417,2.5369363931023788E8,10,8603283.131754205,789,2.813189749484909E9
413,2.5230181960409454E8,10,8823828.702831024,780,2.8021483674868627E9
419,2.5514270165877575E8,11,9042130.46730885,786,2.79317515960516E9
423,2.555469549327556E8,11,9266317.814882426,789,2.7632890791192617E9
