Spruce (count),Spruce volume (m^3),Fir (count),Fir volume (m^3),Beech (count),Beech volume (m^3)
194,1.983480150799001E8,54,1.3199298380506103E8,493,4.1882738624576054E9
197,2.015088411746215E8,55,1.333471306367911E8,496,4.265128986443993E9
198,2.0466361941090077E8,55,1.34671366663592E8,502,4.342331744471841E9
200,2.078371196646727E8,55,1.3597246908787102E8,507,4.419718929265391E9
202,2.110181849336179E8,55,1.372503077141469E8,512,4.497326700198228E9
204,2.1419832935228717E8,55,1.3850480068917245E8,517,4.575134378511888E9
207,2.1738410533281806E8,56,1.3974937945278135E8,520,4.6530778085406E9
208,2.2055065487385848E8,56,1.4096033235894287E8,526,4.731173522946547E9
208,2.2370439217958412E8,57,1.4215661577943674E8,532,4.809383230653145E9
212,2.2690490474695647E8,57,1.433177759173619E8,536,4.887679540474507E9
214,2.3008794804609254E8,57,1.4445597349383855E8,542,4.966043468973267E9
217,2.3328416230199498E8,57,1.4557197716985214E8,547,5.0445233797088995E9
222,2.3650196120054325E8,58,1.4667691590932894E8,549,5.122995182061099E9
223,2.3967683616337878E8,59,1.477609749339678E8,555,5.201468404655528E9
225,2.4286278346131438E8,60,1.4882487166842848E8,560,5.279903200560329E9
228,2.4605847983473396E8,60,1.498557024059021E8,565,5.358335349105063E9
228,2.4921805503766802E8,61,1.508759582480723E8,572,5.436727647948727E9
231,2.5241016150171593E8,61,1.5186401799582446E8,577,5.514993573224043E9
234,2.5560116304393107E8,61,1.5283206387987018E8,582,5.593183143040489E9
236,2.5878052908020613E8,61,1.5378037788699368E8,588,5.671242390199059E9
240,2.6198133172736487E8,63,1.5473622182663417E8,590,5.749096839535138E9
242,2.6516160117913446E8,63,1.5565029110438183E8,597,5.826865231631689E9
246,2.6835719172492793E8,63,1.565460152971061E8,602,5.904484997797049E9
246,2.715068513221801E8,63,1.574234983794767E8,602,5.981870388600797E9
248,2.746719517945478E8,63,1.582803014969919E8,609,6.05912429897873E9
249,2.778219433617886E8,63,1.5911458938819486E8,617,6.13614400792237E9
250,2.809677436631319E8,64,1.599439002301404E8,624,6.212935387500111E9
251,2.8410680250146466E8,64,1.6074903887984085E8,632,6.289496551853258E9
255,2.872682063331141E8,64,1.6153840188760626E8,637,6.365761789132369E9
255,2.903842299330131E8,64,1.6231243107813528E8,646,6.441787978009546E9
257,2.9351425727291584E8,64,1.630714938467412E8,653,6.517514919921176E9
257,2.966185039588253E8,64,1.6381584256619072E8,662,6.592935809762399E9
260,2.99749216822017E8,66,1.645730733137744E8,666,6.667996914403553E9
263,3.028735425368423E8,67,1.6173747883535597E8,671,6.742725962228213E9
263,3.059606318310709E8,66,1.5888764070494935E8,671,6.817053623308128E9
263,3.0904171134100163E8,66,1.5957632179211417E8,671,6.891014390371187E9
263,3.121097360814784E8,66,1.6025287145817858E8,671,6.964600632626101E9
263,3.1516937485755503E8,66,1.6091671516684687E8,671,7.037785880250161E9
263,3.182211148059791E8,66,1.6156737781033793E8,671,7.11056404087827E9
263,3.2126497112725824E8,66,1.6220645245937312E8,671,7.182946504863698E9
263,3.242981008119634E8,66,1.628375205570746E8,671,7.254912486633605E9
263,3.2732267926415825E8,66,1.634559104754124E8,671,7.326498058484588E9
263,3.303383608345282E8,66,1.640638678495753E8,671,7.397758385086451E9
263,3.3334249472492117E8,66,1.6466166618444768E8,671,7.468540862993103E9
263,3.3633709758611923E8,65,1.617642731568674E8,671,7.538844237118981E9
263,3.393218503510045E8,65,1.6234102896405172E8,671,7.608665935081291E9
267,3.423442705196619E8,65,1.629084394154444E8,677,7.678095899727177E9
267,3.453100859817351E8,65,1.6346571483417583E8,677,7.746992673774755E9
267,3.4826525561660224E8,65,1.6401413180939382E8,677,7.815398897259908E9
